requestId,acquire_locks_start,acquire_locks_end,processing_start,processing_end,consistency_protocol_start,consistency_protocol_end,commit_start,commit_end,lock_duration,processing_duration,consistency_duration,commit_duration,consistency_preprocessing_start,consistency_preprocessing_end,consistency_preprocessing_duration,consistency_compute_ack_records_start,consistency_compute_ack_records_end,consistency_compute_ack_records_start_duration,consistency_join_deployments_start,consistency_join_deployments_end,consistency_join_deployments_duration,consistency_subscribe_ack_events_start,consistency_subscribe_ack_events_end,consistency_subscribe_ack_events_duration,consistency_write_acks_start,consistency_write_acks_end,consistency_write_acks_duration,consistency_issue_invalidations_start,consistency_issue_invalidations_end,consistency_issue_invalidations_duration,consistency_early_unsubscribe_start,consistency_early_unsubscribe_end,consistency_early_unsubscribe_duration,consistency_wait_for_acks_start,consistency_wait_for_acks_end,consistency_wait_for_acks_duration,consistency_clean_up_start,consistency_clean_up_end,consistency_clean_up_duration,transactionStart,transactionEnd,transactionId,success
UNKNOWN,1646931789461,1646931789462,1646931789462,1646931789462,1646931789462,1646931789462,1646931789462,1646931789463,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789461,1646931789463,1868121526270967871,true
UNKNOWN,1646931789411,1646931789412,1646931789412,1646931789412,1646931789412,1646931789412,1646931789412,1646931789413,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789411,1646931789413,525740761515576247,true
UNKNOWN,1646931784417,1646931784418,1646931784418,1646931784418,1646931784418,1646931784418,1646931784418,1646931784419,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784417,1646931784419,4338324103744539697,true
UNKNOWN,1646931784419,1646931784420,1646931784420,1646931784420,1646931784420,1646931784421,1646931784421,1646931784421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784419,1646931784421,8917322156704548092,true
UNKNOWN,1646931789724,1646931789725,1646931789725,1646931789725,1646931789725,1646931789726,1646931789726,1646931789726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789724,1646931789726,1098918763963501106,true
UNKNOWN,1646931784427,1646931784428,1646931784428,1646931784428,1646931784428,1646931784429,1646931784429,1646931784429,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784427,1646931784429,1157368376184883530,true
UNKNOWN,1646931784429,1646931784430,1646931784430,1646931784430,1646931784430,1646931784430,1646931784430,1646931784431,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784429,1646931784431,7844032766046260643,true
UNKNOWN,1646931789730,1646931789731,1646931789731,1646931789731,1646931789731,1646931789731,1646931789731,1646931789731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789730,1646931789731,6173268422117443763,true
UNKNOWN,1646931789385,1646931789387,1646931789387,1646931789387,1646931789387,1646931789387,1646931789387,1646931789387,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789385,1646931789387,8015057998912045376,true
UNKNOWN,1646931790006,1646931790007,1646931790007,1646931790007,1646931790007,1646931790007,1646931790007,1646931790008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931790005,1646931790008,5262337784673092061,true
UNKNOWN,1646931789921,1646931789922,1646931789922,1646931789922,1646931789922,1646931789922,1646931789922,1646931789922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789921,1646931789922,884054049485179045,true
UNKNOWN,1646931789651,1646931789652,1646931789652,1646931789652,1646931789652,1646931789653,1646931789653,1646931789653,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789651,1646931789653,8233783383066167154,true
UNKNOWN,1646931790043,1646931790044,1646931790044,1646931790044,1646931790044,1646931790044,1646931790044,1646931790045,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931790043,1646931790045,7755999724131863345,true
UNKNOWN,1646931790107,1646931790108,1646931790108,1646931790108,1646931790108,1646931790108,1646931790108,1646931790108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931790107,1646931790108,3528262253624508630,true
UNKNOWN,1646931789810,1646931789811,1646931789811,1646931789811,1646931789811,1646931789811,1646931789811,1646931789811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789810,1646931789811,7064668126529081130,true
UNKNOWN,1646931789941,1646931789942,1646931789942,1646931789943,1646931789943,1646931789943,1646931789943,1646931789943,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789941,1646931789943,2679672822491270642,true
