requestId,acquire_locks_start,acquire_locks_end,processing_start,processing_end,consistency_protocol_start,consistency_protocol_end,commit_start,commit_end,lock_duration,processing_duration,consistency_duration,commit_duration,consistency_preprocessing_start,consistency_preprocessing_end,consistency_preprocessing_duration,consistency_compute_ack_records_start,consistency_compute_ack_records_end,consistency_compute_ack_records_start_duration,consistency_join_deployments_start,consistency_join_deployments_end,consistency_join_deployments_duration,consistency_subscribe_ack_events_start,consistency_subscribe_ack_events_end,consistency_subscribe_ack_events_duration,consistency_write_acks_start,consistency_write_acks_end,consistency_write_acks_duration,consistency_issue_invalidations_start,consistency_issue_invalidations_end,consistency_issue_invalidations_duration,consistency_early_unsubscribe_start,consistency_early_unsubscribe_end,consistency_early_unsubscribe_duration,consistency_wait_for_acks_start,consistency_wait_for_acks_end,consistency_wait_for_acks_duration,consistency_clean_up_start,consistency_clean_up_end,consistency_clean_up_duration,transactionStart,transactionEnd,transactionId,success
UNKNOWN,1646931830043,1646931830044,1646931830044,1646931830044,1646931830044,1646931830044,1646931830044,1646931830044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830043,1646931830044,3672449573587929885,true
UNKNOWN,1646931830665,1646931830666,1646931830666,1646931830666,1646931830666,1646931830666,1646931830666,1646931830667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830665,1646931830667,2572547986585898400,true
UNKNOWN,1646931831118,1646931831119,1646931831119,1646931831119,1646931831119,1646931831119,1646931831119,1646931831119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831118,1646931831119,5189318165896971460,true
UNKNOWN,1646931815358,1646931815358,1646931815358,1646931815358,1646931815358,1646931815359,1646931815359,1646931815359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815358,1646931815359,1855908605435725129,true
UNKNOWN,1646931831170,1646931831170,1646931831170,1646931831171,1646931831171,1646931831171,1646931831171,1646931831171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831170,1646931831171,726491709708977478,true
UNKNOWN,1646931815621,1646931815622,1646931815622,1646931815622,1646931815622,1646931815622,1646931815622,1646931815622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815621,1646931815622,7967973852022063540,true
UNKNOWN,1646931810964,1646931810965,1646931810965,1646931810965,1646931810965,1646931810965,1646931810965,1646931810966,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810964,1646931810966,5467815750572131798,true
UNKNOWN,1646931811015,1646931811015,1646931811015,1646931811015,1646931811015,1646931811016,1646931811016,1646931811016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811014,1646931811016,2299187183321301562,true
UNKNOWN,1646931810549,1646931810550,1646931810550,1646931810550,1646931810550,1646931810551,1646931810551,1646931810551,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810549,1646931810551,7943370143060871544,true
UNKNOWN,1646931815122,1646931815123,1646931815123,1646931815123,1646931815123,1646931815123,1646931815123,1646931815123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815122,1646931815123,3696480362561751865,true
UNKNOWN,1646931815374,1646931815375,1646931815375,1646931815375,1646931815375,1646931815375,1646931815375,1646931815375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815374,1646931815375,1180320555074605026,true
UNKNOWN,1646931831266,1646931831267,1646931831267,1646931831267,1646931831267,1646931831267,1646931831267,1646931831267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831266,1646931831267,8268033430351201290,true
UNKNOWN,1646931831231,1646931831231,1646931831231,1646931831231,1646931831231,1646931831232,1646931831232,1646931831232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831231,1646931831232,7823928783636549514,true
UNKNOWN,1646931815214,1646931815215,1646931815215,1646931815215,1646931815215,1646931815215,1646931815215,1646931815216,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815214,1646931815216,3011854727158909959,true
UNKNOWN,1646931811309,1646931811310,1646931811310,1646931811310,1646931811310,1646931811310,1646931811310,1646931811310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811309,1646931811310,5007035769018204661,true
UNKNOWN,1646931807230,1646931807230,1646931807230,1646931807230,1646931807230,1646931807231,1646931807231,1646931807231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931807230,1646931807231,2940110565448699233,true
UNKNOWN,1646931830868,1646931830869,1646931830869,1646931830869,1646931830869,1646931830869,1646931830869,1646931830869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830868,1646931830869,8138688686839645375,true
UNKNOWN,1646931831128,1646931831128,1646931831128,1646931831129,1646931831129,1646931831129,1646931831129,1646931831129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831128,1646931831129,338548296279281569,true
UNKNOWN,1646931815143,1646931815143,1646931815143,1646931815144,1646931815144,1646931815144,1646931815144,1646931815144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815143,1646931815144,3093609727147328530,true
UNKNOWN,1646931815466,1646931815467,1646931815467,1646931815467,1646931815467,1646931815467,1646931815467,1646931815467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815466,1646931815467,3013308535508258569,true
UNKNOWN,1646931810829,1646931810830,1646931810830,1646931810830,1646931810830,1646931810831,1646931810831,1646931810831,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810829,1646931810831,1805984499413829380,true
UNKNOWN,1646931831116,1646931831117,1646931831117,1646931831117,1646931831117,1646931831117,1646931831117,1646931831117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831116,1646931831117,75561221840916328,true
UNKNOWN,1646931815026,1646931815026,1646931815026,1646931815026,1646931815026,1646931815027,1646931815027,1646931815027,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815025,1646931815027,2417961511483687973,true
UNKNOWN,1646931811266,1646931811301,1646931811301,1646931811301,1646931811301,1646931811301,1646931811301,1646931811302,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811266,1646931811302,721387282058267903,true
UNKNOWN,1646931814941,1646931814942,1646931814942,1646931814942,1646931814942,1646931814942,1646931814942,1646931814942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931814941,1646931814942,4333912596015693978,true
UNKNOWN,1646931806868,1646931806869,1646931806869,1646931806869,1646931806869,1646931806869,1646931806869,1646931806870,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931806868,1646931806870,2687745480182484941,true
UNKNOWN,1646931815151,1646931815151,1646931815151,1646931815152,1646931815152,1646931815152,1646931815152,1646931815152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815151,1646931815152,6153768424601504820,true
UNKNOWN,1646931815619,1646931815620,1646931815620,1646931815620,1646931815620,1646931815620,1646931815620,1646931815620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815619,1646931815620,8125595253787214661,true
UNKNOWN,1646931811792,1646931811793,1646931811793,1646931811793,1646931811793,1646931811793,1646931811793,1646931811793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811792,1646931811793,8744922132707296335,true
UNKNOWN,1646931831036,1646931831037,1646931831037,1646931831037,1646931831037,1646931831037,1646931831037,1646931831037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831036,1646931831037,7249400528234105785,true
UNKNOWN,1646931810540,1646931810541,1646931810541,1646931810541,1646931810541,1646931810541,1646931810541,1646931810541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810540,1646931810541,3419978049521402504,true
UNKNOWN,1646931830815,1646931830816,1646931830816,1646931830816,1646931830816,1646931830816,1646931830816,1646931830817,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830815,1646931830817,2916927455474107955,true
UNKNOWN,1646931815558,1646931815558,1646931815558,1646931815559,1646931815559,1646931815559,1646931815559,1646931815559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815558,1646931815559,5253464115490210281,true
UNKNOWN,1646931807041,1646931807042,1646931807042,1646931807042,1646931807042,1646931807042,1646931807042,1646931807043,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931807041,1646931807043,3878872024205314816,true
UNKNOWN,1646931831300,1646931831301,1646931831301,1646931831301,1646931831301,1646931831301,1646931831301,1646931831301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831300,1646931831301,2985517871820653732,true
UNKNOWN,1646931807057,1646931807058,1646931807058,1646931807058,1646931807058,1646931807058,1646931807058,1646931807058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931807057,1646931807058,539713636582835286,true
UNKNOWN,1646931814794,1646931814794,1646931814794,1646931814794,1646931814794,1646931814795,1646931814795,1646931814795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931814793,1646931814795,1307408537906331840,true
UNKNOWN,1646931814955,1646931814955,1646931814955,1646931814956,1646931814956,1646931814956,1646931814956,1646931814956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931814955,1646931814956,3542198433112212466,true
UNKNOWN,1646931830481,1646931830482,1646931830482,1646931830482,1646931830482,1646931830482,1646931830482,1646931830482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830481,1646931830482,6882961170437915251,true
UNKNOWN,1646931811365,1646931811366,1646931811366,1646931811366,1646931811366,1646931811366,1646931811366,1646931811366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811365,1646931811366,4144102802041488709,true
UNKNOWN,1646931811788,1646931811789,1646931811789,1646931811789,1646931811789,1646931811789,1646931811789,1646931811789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811788,1646931811789,5290908165474832178,true
UNKNOWN,1646931830153,1646931830154,1646931830154,1646931830154,1646931830154,1646931830154,1646931830154,1646931830154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830153,1646931830154,4937685889142767871,true
UNKNOWN,1646931811005,1646931811006,1646931811006,1646931811006,1646931811006,1646931811006,1646931811006,1646931811007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811005,1646931811007,8512555491797716119,true
