operation_name,request_id,invoked_at_time,serverless_fn_start_time,enqueued_at_time,began_executing_time,finished_executing_time,serverless_fn_end_time,result_received_time,invocation_duration,preprocessing_duration,waiting_in_queue_duration,execution_duration,postprocessing_duration,return_to_client_duration,serverless_fn_duration,deployment_number,name_node_id,request_type,metadata_cache_hits,metadata_cache_misses
getBlockLocations,a1064f44-0e16-4d2e-b003-6ef710915942  ,1646931830043             ,1646931830043             ,0                         ,1646931830043             ,1646931830044             ,1646931830044             ,1646931830045             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1270 ,1170 
getBlockLocations,67441770-7ce0-4db6-9227-d53cde07d1f6  ,1646931830665             ,1646931830665             ,0                         ,1646931830665             ,1646931830667             ,1646931830667             ,1646931830667             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1690 ,1590 
getBlockLocations,05442545-3b9d-405c-a905-7b889030781d  ,1646931831118             ,1646931831118             ,0                         ,1646931831118             ,1646931831119             ,1646931831119             ,1646931831119             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2036 ,1936 
getBlockLocations,98189927-3bfd-4a1c-b06c-ffa0f45e72f5  ,1646931815357             ,1646931815358             ,0                         ,1646931815358             ,1646931815359             ,1646931815359             ,1646931815359             ,1       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1801 ,1701 
getBlockLocations,8e9aa113-ee4f-4374-8152-f251cb0ec7f8  ,1646931815621             ,1646931815621             ,0                         ,1646931815621             ,1646931815622             ,1646931815622             ,1646931815622             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,2057 ,1957 
getBlockLocations,44b1d4b9-3717-476b-8678-a1c8072bba8a  ,1646931831169             ,1646931831170             ,0                         ,1646931831170             ,1646931831171             ,1646931831171             ,1646931831171             ,1       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2088 ,1988 
getBlockLocations,12aade83-3ceb-4bc7-ac5a-30ed5da3e3fb  ,1646931810964             ,1646931810964             ,0                         ,1646931810964             ,1646931810966             ,1646931810966             ,1646931810966             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,680  ,580  
getBlockLocations,791462d3-f17a-4efc-aa00-6c6fe6ba76ac  ,1646931811014             ,1646931811014             ,0                         ,1646931811014             ,1646931811016             ,1646931811016             ,1646931811016             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,712  ,612  
getBlockLocations,bd6473d9-cd4a-4eb4-bb09-d39816d50ae2  ,1646931810549             ,1646931810549             ,0                         ,1646931810549             ,1646931810551             ,1646931810551             ,1646931810551             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,488  ,388  
getBlockLocations,b541fd8e-9f66-4782-995e-c532611c34c5  ,1646931815122             ,1646931815122             ,0                         ,1646931815122             ,1646931815123             ,1646931815124             ,1646931815124             ,0       ,0       ,0       ,1       ,1       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1597 ,1497 
getBlockLocations,487c558e-6152-42b5-8ee2-5c8cee618a5e  ,1646931815374             ,1646931815374             ,0                         ,1646931815374             ,1646931815375             ,1646931815375             ,1646931815375             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1817 ,1717 
getBlockLocations,35217858-2a68-4f7b-b0f5-816c37ab89df  ,1646931831266             ,1646931831266             ,0                         ,1646931831266             ,1646931831267             ,1646931831267             ,1646931831267             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2186 ,2086 
getBlockLocations,6e771513-55cd-4a57-8bf0-e5004a9bc687  ,1646931831230             ,1646931831231             ,0                         ,1646931831231             ,1646931831232             ,1646931831232             ,1646931831232             ,1       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2150 ,2050 
getBlockLocations,e2355345-7e71-470c-ac36-7496bdc15d28  ,1646931815214             ,1646931815214             ,0                         ,1646931815214             ,1646931815216             ,1646931815216             ,1646931815216             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1659 ,1559 
getBlockLocations,b436272b-de10-4e0e-9b67-a32ef07686d3  ,1646931811309             ,1646931811309             ,0                         ,1646931811309             ,1646931811310             ,1646931811310             ,1646931811311             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,882  ,782  
getBlockLocations,73956d8d-bc67-4056-97f2-266c3a72764e  ,1646931807229             ,1646931807229             ,0                         ,1646931807229             ,1646931807231             ,1646931807231             ,1646931807231             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1236 ,1136 
getBlockLocations,f8851f66-a635-47c0-b5eb-3c4c71826cdd  ,1646931830868             ,1646931830868             ,0                         ,1646931830868             ,1646931830869             ,1646931830869             ,1646931830870             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1852 ,1752 
getBlockLocations,0758a2de-6ba1-487d-8129-d5d4b45ecafd  ,1646931831128             ,1646931831128             ,0                         ,1646931831128             ,1646931831129             ,1646931831129             ,1646931831129             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2046 ,1946 
